overall,season,wikiUrl,title,airdates,ytId,ytLike,ytView
56,S02E16,/wiki/Lighthouse,Lighthouse,14 July 1997,7X08g79q7u4,750,809244
57,S02E17,/wiki/Naughty_Bee,Naughty Bee,15 July 1997,up9WrbTpRfQ,5587,4319110
58,S02E18,/wiki/Paddling_Pool,Paddling Pool,16 July 1997,YnHwhLj5Xhw,1799,1561553
59,S02E19,/wiki/Numbers_-_5_(Version_1),Numbers: 5 (Version 1),17 July 1997,aZL5camLr_c,942,778936
60,S02E20,/wiki/Swans,Swans,18 July 1997,9Z1owOgb7Ak,524,536048
61,S03E01,/wiki/Butterfly,Butterfly,1 September 1997,4Ql7IiCzX7c,675,585148
62,S03E02,/wiki/Carnival,Carnival,2 September 1997,eAiCXKcYNTQ,789,651441
63,S03E03,/wiki/Naughty_Snake,Naughty Snake,3 September 1997,qH9097C1Tsc,919,838750
64,S03E04,/wiki/Guessing_Game,Guessing Game,4 September 1997,wQrRKGviKgc,462,324631
65,S03E05,/wiki/Numbers_-_4_(Version_1),Numbers: 4 (Version 1),5 September 1997,KsCGyePh8dY,2833,2334572
66,S03E06,/wiki/Dandelion_Clocks,Dandelion Clocks,8 September 1997,LqEOVrt9Cas,776,600936
67,S03E07,/wiki/Ice_Skating,Ice Skating,9 September 1997,bz3UxX1hmco,11173,7728886
68,S03E08,/wiki/Josie%27s_Pots,Josie's Pots,10 September 1997,iswAebQWpeE,1660,1505910
69,S03E09,/wiki/Animals_-_Fish,Animals: Fish,11 September 1997,rA8s2YJxoVg,5928,3454114
70,S03E10,/wiki/Hickory_Dickory_Dock,Hickory Dickory Dock,12 September 1997,JA-KtCaeSDg,2483,2387611
71,S03E11,/wiki/Numbers_-_6_(Version_1),Numbers: 6 (Version 1),15 September 1997,_-Aa_fWD_xE,14735,5823920
72,S03E12,/wiki/Wake_Up!,Wake Up!,16 September 1997,rrUmiEo9H30,1245,948503
73,S03E13,/wiki/Sophie_-_Art_Circus,Sophie's Art: Circus,17 September 1997,6fmwUqMKMa0,456,361049
74,S03E14,/wiki/Emily_Washing_the_Pony,Emily Washing the Pony,18 September 1997,LrEsoiSEXyI,1682,1594669
75,S03E15,/wiki/Gymnastics,Gymnastics,19 September 1997,hV0nuIN3eIU,1295,1031124
76,S03E16,/wiki/Sandcastles,Sandcastles,22 September 1997,aIwIE8UA1D0,921,758322
77,S03E17,/wiki/Walking_the_Dog,Walking the Dog,23 September 1997,EP-K_0X1MX0,662,565293
78,S03E18,/wiki/Sand_Pendulum,Sand Pendulum,24 September 1997,0H6ooJX-MQ0,472,431054
79,S03E19,/wiki/Going_on_a_Train,Going on a Train,25 September 1997,B86tv3xt-pA,5524,4503958
80,S03E20,/wiki/Herding_Sheep,Herding Sheep,26 September 1997,yC_12-3J3zo,808,758774
