overall,season,wikiUrl,title,airdates,ytId,ytLike,ytView
1,S01E01,/wiki/Ned%27s_Bicycle,Ned's Bicycle,31 March 1997,Tnw4Ze2tBIo,3228,2322027
2,S01E02,/wiki/Our_Pig_Winnie,Our Pig Winnie,1 April 1997,_6zLAGb9pVM,3289,2099678
3,S01E03,/wiki/The_Grand_Old_Duke_of_York,The Grand Old Duke of York,2 April 1997,zPoYmcxFra0,13071,5575340
4,S01E04,/wiki/Naughty_Sock,Naughty Sock,3 April 1997,ztJyYLKvtZc,1329,1284971
5,S01E05,/wiki/Painting_with_Hands_and_Feet,Painting with Hands and Feet,4 April 1997,hRUJBpSEbwo,3561,2980632
6,S01E06,/wiki/Lambs,Lambs,7 April 1997,rGy8WsYZbpk,1407,1231153
7,S01E07,/wiki/Playing_in_the_Rain,Playing in the Rain,8 April 1997,jubOUNdvWGU,8196,10387572
8,S01E08,/wiki/Dad%27s_Lorry,Dad's Lorry,9 April 1997,UcH_RcBl1zk,580,488641
9,S01E09,/wiki/Numbers_-_1_(Version_1),Numbers: 1 (Version 1),10 April 1997,qWI7kylE9c0,4150,2925877
10,S01E10,/wiki/Making_Flowers,Making Flowers,11 April 1997,T4SZwL0WvFA,1370,1252853
11,S01E11,/wiki/See-Saw,See-Saw (Margery Daw),14 April 1997,vQjQVufT4pg,5015,2792111
12,S01E12,/wiki/Photo_Faces,Photo Faces,15 April 1997,uPS8EVmMLNQ,768,657369
13,S01E13,/wiki/Owl_Babies,Owl Babies,16 April 1997,9vV-4r1Yr0E,166,133416
14,S01E14,/wiki/Larette_Tap_Dancing,Larette Tap Dancing,17 April 1997,j5EJGIlF-ro,1028,928495
15,S01E15,/wiki/Emily_and_Jester,Emily and Jester,18 April 1997,R1yzS07iV2k,1060,849120
16,S01E16,/wiki/Delilah_Packing,Delilah Packing,21 April 1997,0iFbYXwqfIQ,2919,1872610
17,S01E17,/wiki/Humpty_Dumpty,Humpty Dumpty,22 April 1997,ic2pYtINhUQ,1014,813550
18,S01E18,/wiki/Feeding_the_Chickens,Feeding the Chickens,23 April 1997,MLfVGKnBeaI,11348,8281258
19,S01E19,/wiki/The_Helicopter,Helicopter,24 April 1997,PBOpYVOFDlo,3428,3112040
20,S01E20,/wiki/Balancing,Balancing,25 April 1997,3OnMVtZsAXw,545,566909
21,S01E21,/wiki/Building_a_Barbecue,Building a Barbecue,28 April 1997,f-CM1TXCk0E,1361,1062120
22,S01E22,/wiki/Jumping,Jumping,29 April 1997,-vnDsM3EuFg,1361,1442815
23,S01E23,/wiki/Rockpool,Rockpool,30 April 1997,DE6KuRFD9Ls,378,339084
24,S01E24,/wiki/Drawing_Cacti,Drawing Cacti,1 May 1997,EXBQxJnyyc0,1943,1744287
25,S01E25,/wiki/Washing_the_Bus,Washing the Bus,2 May 1997,_GBRF8oja4U,1043,917462
26,S01E26,/wiki/Caf%C3%A9_Chocolate,Café Chocolate,5 May 1997,HOMCC9rIqe8,59520,25890418
27,S01E27,/wiki/Emily_and_the_Trap,Emily and the Trap,6 May 1997,FQuHi6WrTlE,825,985305
28,S01E28,/wiki/The_Beach,The Beach,7 May 1997,5hR1CGkid9I,18034,10157452
29,S01E29,/wiki/Rolling,Rolling,8 May 1997,drVQIXNmUi4,1380,1396664
30,S01E30,/wiki/Numbers_-_2_(Version_1),Numbers: 2 (Version 1),9 May 1997,da5dQxprds8,714,668164
31,S01E31,/wiki/Swimming_with_Stephanie,Swimming with Stephanie,12 May 1997,EGGHQujKgBQ,3137,2653606
32,S01E32,/wiki/Yellow_Cow,Naughty Yellow Cow,13 May 1997,b_q4C5Bgn5g,1939,3062776
33,S01E33,/wiki/My_Mum%27s_Keyboard,My Mum's Keyboard,14 May 1997,mj5XvcYessU,623,541781
34,S01E34,/wiki/Walking_in_the_Woods,Walking in the Woods,15 May 1997,Ltwc9j39emk,1103,839968
35,S01E35,/wiki/Strawberry_Picking,Strawberry Picking,16 May 1997,M9F2sWuSu4I,353,285226
36,S01E36,/wiki/Shadows,Shadows,19 May 1997,oQJTnbPQYHE,741,570513
37,S01E37,/wiki/Painting_Swings,Painting Swings,20 May 1997,tfenxMuQAb4,751,548593
38,S01E38,/wiki/My_Mum%27s_a_Doctor,My Mum's a Doctor,21 May 1997,SmLA0i3fijc,25780,16676444
39,S01E39,/wiki/Tweet_Tweet,Tweet Tweet,22 May 1997,yo-wrW8nFSA,1487,1156114
40,S01E40,/wiki/Bubbles_(1997_episode),Bubbles,23 May 1997,wQfU6IjBdYo,6357,3266863
41,S02E01,/wiki/Gospel_Singing,Gospel Singing,23 June 1997,ExL-lRTD-rk,519,403037
42,S02E02,/wiki/Mark_and_Zoe_Cooking,Mark and Zoe Cooking,24 June 1997,g0EkaPIMN0Y,944,750834
43,S02E03,/wiki/Arthur_Robot_Story,Arthur Robot Story,25 June 1997,qWqWlStJ2nU,452,323809
44,S02E04,/wiki/Hey_Diddle_Diddle,Hey Diddle Diddle,26 June 1997,R2YW5ax3cNQ,3540,2711523
45,S02E05,/wiki/Dirty_Dog,Dirty Dog,27 June 1997,GB2x42FJHOI,2724,2446413
46,S02E06,/wiki/Going_for_a_Walk,Going for a Walk,30 June 1997,Cxtz-DAP6Cc,587,416180
47,S02E07,/wiki/Music_with_Debbie,Music with Debbie (1),1 July 1997,hRIoHRDiImY,692,662494
48,S02E08,/wiki/Numbers_-_3_(Version_1),Numbers: 3 (Version 1),2 July 1997,AX8Pnf12c-0,887,831293
49,S02E09,/wiki/Haymaking,Haymaking,3 July 1997,ds-RED7qcU0,707,626489
50,S02E10,/wiki/Naughty_Cloud,Naughty Cloud,4 July 1997,kFFh5_zd9sQ,926,914871
51,S02E11,/wiki/I_Want_to_Be_a_Vet,I Want to Be a Vet,7 July 1997,s9XyC2Ggsqo,774,626006
52,S02E12,/wiki/Ned%27s_Potatoes,Ned's Potatoes,8 July 1997,bC-qPAq3PCY,1249,838093
53,S02E13,/wiki/Digging_in_the_Sand_for_Worms,Digging in the Sand for Worms,9 July 1997,V4yuDlSEYl8,788,696271
54,S02E14,"/wiki/Sarah,_Fraser_and_the_Ducks","Sarah, Fraser and the Ducks",10 July 1997,MjGLCfI4nuU,959,830351
55,S02E15,/wiki/Throwing,Throwing,11 July 1997,bUzg6Ql8dlg,2040,1624913
56,S02E16,/wiki/Lighthouse,Lighthouse,14 July 1997,7X08g79q7u4,750,809512
57,S02E17,/wiki/Naughty_Bee,Naughty Bee,15 July 1997,up9WrbTpRfQ,5588,4319832
58,S02E18,/wiki/Paddling_Pool,Paddling Pool,16 July 1997,YnHwhLj5Xhw,1799,1562461
59,S02E19,/wiki/Numbers_-_5_(Version_1),Numbers: 5 (Version 1),17 July 1997,aZL5camLr_c,942,779503
60,S02E20,/wiki/Swans,Swans,18 July 1997,9Z1owOgb7Ak,525,536534
61,S03E01,/wiki/Butterfly,Butterfly,1 September 1997,4Ql7IiCzX7c,676,585321
62,S03E02,/wiki/Carnival,Carnival,2 September 1997,eAiCXKcYNTQ,789,651763
63,S03E03,/wiki/Naughty_Snake,Naughty Snake,3 September 1997,qH9097C1Tsc,919,839123
64,S03E04,/wiki/Guessing_Game,Guessing Game,4 September 1997,wQrRKGviKgc,462,324827
65,S03E05,/wiki/Numbers_-_4_(Version_1),Numbers: 4 (Version 1),5 September 1997,KsCGyePh8dY,2833,2335694
