overall,season,wikiUrl,title,airdates,ytId,ytLike,ytView
66,S03E06,/wiki/Dandelion_Clocks,Dandelion Clocks,8 September 1997,LqEOVrt9Cas,776,601107
67,S03E07,/wiki/Ice_Skating,Ice Skating,9 September 1997,bz3UxX1hmco,11173,7731767
68,S03E08,/wiki/Josie%27s_Pots,Josie's Pots,10 September 1997,iswAebQWpeE,1660,1506467
69,S03E09,/wiki/Animals_-_Fish,Animals: Fish,11 September 1997,rA8s2YJxoVg,5926,3454790
70,S03E10,/wiki/Hickory_Dickory_Dock,Hickory Dickory Dock,12 September 1997,JA-KtCaeSDg,2488,2390328
71,S03E11,/wiki/Numbers_-_6_(Version_1),Numbers: 6 (Version 1),15 September 1997,_-Aa_fWD_xE,14738,5825565
72,S03E12,/wiki/Wake_Up!,Wake Up!,16 September 1997,rrUmiEo9H30,1246,949307
73,S03E13,/wiki/Sophie_-_Art_Circus,Sophie's Art: Circus,17 September 1997,6fmwUqMKMa0,456,361209
74,S03E14,/wiki/Emily_Washing_the_Pony,Emily Washing the Pony,18 September 1997,LrEsoiSEXyI,1684,1596091
75,S03E15,/wiki/Gymnastics,Gymnastics,19 September 1997,hV0nuIN3eIU,1296,1031652
76,S03E16,/wiki/Sandcastles,Sandcastles,22 September 1997,aIwIE8UA1D0,925,759184
77,S03E17,/wiki/Walking_the_Dog,Walking the Dog,23 September 1997,EP-K_0X1MX0,663,565535
78,S03E18,/wiki/Sand_Pendulum,Sand Pendulum,24 September 1997,0H6ooJX-MQ0,472,431185
79,S03E19,/wiki/Going_on_a_Train,Going on a Train,25 September 1997,B86tv3xt-pA,5531,4507409
80,S03E20,/wiki/Herding_Sheep,Herding Sheep,26 September 1997,yC_12-3J3zo,808,759309
81,S03E21,/wiki/Eid_-_New_Clothes,Eid's New Clothes,29 September 1997,_F1yV2jCNwA,722,624183
82,S03E22,/wiki/Picking_and_Sorting,Picking and Sorting,30 September 1997,07bFa0u7C_I,681,546379
83,S03E23,/wiki/Numbers_-_9,Numbers: 9,1 October 1997,HYt1OtGeyas,1019,790195
84,S03E24,/wiki/Going_to_School_By_Boat,Going to School by Boat,2 October 1997,4sRJF7LDhes,779,656477
85,S03E25,/wiki/Squirrels,Squirrels,3 October 1997,lHOjQrG3h9A,322,239058
86,S03E26,/wiki/Dry_Stone_Wall,Stone Wall,6 October 1997,K1Q0s_jaOic,516,378597
87,S03E27,/wiki/Urban_Birds,Urban Birds,7 October 1997,xkFaOzhIK4E,2830,1939826
88,S03E28,/wiki/Bubble_Pictures,Bubble Pictures,8 October 1997,tZjWDDUSVwU,6169,4390760
89,S03E29,/wiki/Good_Morning,Good Morning,9 October 1997,-2VDXbU7WOk,260,214051
90,S03E30,/wiki/Numbers_-_8,Numbers: 8,10 October 1997,8GNqkBUUJfE,1705,1710609
91,S03E31,/wiki/Monkey_Safari,Monkey Safari,13 October 1997,Nr3_0a9qwS0,958,973219
92,S03E32,/wiki/Leaves,Leaves,14 October 1997,2xEz533foLI,624,579887
93,S03E33,/wiki/Flamenco_Guitar,Flamenco Guitar,15 October 1997,sz99wV3JiIM,3206,2587226
94,S03E34,/wiki/Numbers_-_1_(Version_2),Numbers: 1 (Version 2),16 October 1997,tuDWMqOhvIk,609,592720
95,S03E35,/wiki/Stop_and_Go,Stop and Go,17 October 1997,fUw5IPOWxkI,1659,1494222
96,S03E36,/wiki/Chinese_New_Year,Chinese New Year,20 October 1997,kedCosn-d-A,3355,2088261
97,S03E37,/wiki/Pancakes,Pancakes,21 October 1997,si7Q5_qklWg,982,866023
98,S03E38,/wiki/Funghi_the_Dolphin,Fungie the Dolphin,22 October 1997,Cuke8K2knZw,208,141252
99,S03E39,/wiki/Music_with_Debbie_2,Music with Debbie (2),23 October 1997,Y2g7QrifGIE,145,143511
100,S03E40,/wiki/Mandir_Temple,Mandir Temple,24 October 1997,tkL9UG4WKFY,685,605532
101,S04E01,/wiki/Little_Baby,Little Baby,8 December 1997,Ggp6rbju4ik,2774,2074638
102,S04E02,/wiki/How_Things_Swim,How Things Swim,9 December 1997,AgC1CFISch8,5138,5268781
103,S04E03,/wiki/Naughty_Horse,Naughty Horse,10 December 1997,MK3aphVrxII,1068,841261
104,S04E04,/wiki/Bell_Ringing,Bell Ringing,11 December 1997,VgiASEw2bIY,2261,1908378
105,S04E05,/wiki/Colours_-_Blue,Colours: Blue,12 December 1997,vcgwjK6Oyiw,1290,1060113
106,S04E06,/wiki/Christening,Christening,15 December 1997,NcxspTRGezc,581,497357
107,S04E07,/wiki/Feeding_the_Sheep_in_Winter,Feeding the Sheep in Winter,16 December 1997,mCHjA3u8Fqk,770,621891
108,S04E08,/wiki/Hanukkah,Hanukkah,17 December 1997,s1fBdwuEmr8,809,907105
109,S04E09,/wiki/Washing_Up,Washing Up,18 December 1997,Sz7JpL8jRRo,22115,14819199
110,S04E10,/wiki/Numbers_-_5_(Version_2),Numbers: 5 (Version 2),19 December 1997,e1Yc4G6vvTY,4033,1925411
111,S04E11,/wiki/Christmas_Tree,Christmas Tree,22 December 1997,_FNSDQSkJKE,2931,2604307
112,S04E12,/wiki/Making_Christmas_Cards,Making Christmas Cards,23 December 1997,-1pdZWB3LT8,2357,2524252
113,S04E13,/wiki/Crackers,Christmas Crackers,24 December 1997,3-Gu_W3zKb0,5321,3938145
114,S04E14,/wiki/Christmas_Carols,Christmas Carols,25 December 1997,ap_W9y7TBMs,664,832669
115,S04E15,/wiki/Snowy_Story,Snowy Story,26 December 1997,kbLlQzje_5Q,3038,2563138
116,S04E16,/wiki/Level_Crossing,Level Crossing,29 December 1997,AkASwd_jB8o,648,517075
117,S04E17,/wiki/Becky_and_Jed_Finding_Eggs,Becky and Jed Finding Eggs,30 December 1997,XcRwSIZPvYQ,3374,2143841
118,S04E18,/wiki/Rocking_Chair,Rocking Chair,31 December 1997,vCyVA3UIvgs,827,669415
119,S04E19,/wiki/Colours_-_Pink,Colours: Pink,1 January 1998,JGYFcHGlUcI,5146,3523852
120,S04E20,/wiki/Living_in_Flats,Living in Flats,2 January 1998,7zQXnXj74Lg,9778,5030996
121,S04E21,/wiki/Urban_Walk,Urban Walk,5 January 1998,KCyPsVT4Myw,1345,1220460
122,S04E22,/wiki/Our_Calf_Treacle,Our Calf Treacle,6 January 1998,vVvU6IYRCdo,738,578122
123,S04E23,/wiki/Naughty_Pig,Naughty Pig,7 January 1998,UfSgWu886V4,763,738507
124,S04E24,/wiki/Washing_the_Car,Washing the Car,8 January 1998,UScrujqDeOI,2362,1810377
125,S04E25,/wiki/Handy_Hands,Handy Hands,9 January 1998,SvHH9vzsEVQ,1033,922633
126,S04E26,/wiki/Playing_Ball,Playing Ball,12 January 1998,4XHdS5JBJRs,2914,2018470
127,S04E27,/wiki/Irish_Dancing,Irish Dancing,13 January 1998,FRNAOsQiToU,1340,1376517
128,S04E28,/wiki/Numbers_-_2_(Version_2),Numbers: 2 (Version 2),14 January 1998,WUy3EAWLdrY,704,657469
129,S04E29,/wiki/Giraffes,Giraffes,15 January 1998,Tka5r1MnHt4,556,557333
130,S04E30,/wiki/Amy%27s_Pasta,Amy's House (Pasta),16 January 1998,PnJKfiT0BRM,1456,1191161
131,S05E01,/wiki/Naughty_Sock_Returns,Naughty Sock Returns,23 March 1998,B1A0PcCE6VI,2527,2452819
132,S05E02,/wiki/Penguins,Penguins,24 March 1998,jf-UKnfHic8,724,535205
133,S05E03,/wiki/Ned%27s_Geraniums,Ned's Geraniums,25 March 1998,hsKkdw4KJes,417,319425
134,S05E04,/wiki/Digging_in_the_Sand_for_Crabs,Digging in the Sand for Crabs,26 March 1998,Mt6drZY6y10,781,418133
135,S05E05,/wiki/Samira%27s_Gymnastics,Samira's Gymnastics,27 March 1998,r7buQ1EJmhM,1932,1551423
136,S05E06,/wiki/Milking_Cows,Milking Cows,30 March 1998,_ZbhdpLuYfE,55409,22549914
137,S05E07,/wiki/Flamenco_Dancing,Flamenco Dancing,31 March 1998,_KvIH10Bu0k,966,871689
138,S05E08,/wiki/Caf%C3%A9_Eggs,Café Eggs,1 April 1998,Egk7AXK6gKI,1809,1683367
139,S05E09,/wiki/Drumming_with_Norris,Drumming with Norris,2 April 1998,lSBC1C-koEg,1209,954158
140,S05E10,/wiki/Making_Fantastic_Animals,Making Fantastic Animals,3 April 1998,p6w1NjlGe0U,615,646951
141,S05E11,/wiki/Feeding_the_Monkeys,Feeding the Monkeys,6 April 1998,vdyXoyqpwHY,4100,1719687
142,S05E12,/wiki/Naughty_Hat,Naughty Hat,7 April 1998,vAJZ_vnM56o,848,614271
143,S05E13,/wiki/The_Gingerbread_Boy,The Gingerbread Boy,8 April 1998,FlunokvOxM8,606,528508
144,S05E14,/wiki/Looking_for_Rabbits,Looking for Rabbits,9 April 1998,YSCLR5n8eJM,1696,1100829
145,S05E15,/wiki/Painting_Easter_Eggs,Painting Easter Eggs,10 April 1998,gamn5XIgbI4,865,712783
146,S05E16,/wiki/Finding_Chocolate_Eggs,Finding Chocolate Eggs,13 April 1998,IVyNUiM3m3w,1786,1460817
147,S05E17,/wiki/Turban,Turban,14 April 1998,eARXcJzrbWE,559,498816
148,S05E18,/wiki/My_Dad%27s_a_Tram_Driver,My Dad's a Tram Driver,15 April 1998,efuGVK4hBjY,651,588768
149,S05E19,/wiki/Football_(1998_episode),Football,16 April 1998,baIhR1CdLHg,34383,23995253
150,S05E20,/wiki/Naughty_Sausage,Naughty Sausage,17 April 1998,1TGTXR01mnw,250,190822
151,S05E21,/wiki/Animals_-_Snails,Animals: Snails,27 April 1998,uVOnQCxxhHw,2019,1269224
152,S05E22,/wiki/Numbers_-_3_(Version_2),Numbers: 3 (Version 2),28 April 1998,_bzk4fb2bgE,794,551437
153,S05E23,/wiki/Dentist,Dentist,29 April 1998,hqNAnrDTgUs,843,656538
154,S05E24,/wiki/Making_Salad,Making Salad,30 April 1998,VHaBXIYo2yg,668,716360
155,S05E25,/wiki/Making_Lanterns,Making Lanterns,1 May 1998,tNWzB2O5kyk,763,601483
156,S05E26,/wiki/Colours_-_Green,Colours: Green,4 May 1998,TuhY_O_2YzQ,1386,1159260
157,S05E27,/wiki/Our_Dog_Alice,Our Dog Alice,5 May 1998,nFz9B3476EI,3136,2287925
158,S05E28,/wiki/Tulips,Tulips,6 May 1998,LBeccpKuPko,1188,1049028
159,S05E29,/wiki/Sea_Lions,Sea Lions,7 May 1998,sDoay0P5tmU,715,730812
160,S05E30,/wiki/Statues,Statues,8 May 1998,hQOxjiSuEnM,474,355086
161,S05E31,/wiki/Cygnets,Cygnets,11 May 1998,dfRzLP_KrBQ,3696,1568182
162,S05E32,/wiki/Rollerblading,Rollerblading,12 May 1998,oNLdrcMMJ-U,458,327676
163,S05E33,/wiki/Naughty_Duck,Naughty Duck,13 May 1998,cR3KRCPX0F8,916,854254
164,S05E34,/wiki/Ice_Cream_Sundae,Ice Cream Sundae,14 May 1998,A24Ya5oHMuA,3021,2296267
165,S05E35,/wiki/Playing_with_Dough,Playing with Dough,15 May 1998,bZW8RPe8ny4,3265,1879694
166,S05E36,/wiki/Kite_Flying,Kite Flying,18 May 1998,cKU3TJXdGZw,368,337529
167,S05E37,/wiki/Ballet_Rhymes,Ballet Rhymes: 3 Blind Mice,19 May 1998,m33EAzxKljE,891,859284
168,S05E38,/wiki/Numbers_-_4_(Version_2),Numbers: 4 (Version 2),20 May 1998,rQqzOZkUTJo,757,547931
169,S05E39,/wiki/Haircut,Haircut,21 May 1998,B1MF3NFQVTk,224,199955
170,S05E40,/wiki/Carnival_2,Carnival (2),22 May 1998,13MeM5pg29Q,4996,3764582
171,S06E01,/wiki/Tennis,Tennis,22 June 1998,h4GAJqDqR0Q,664,530724
172,S06E02,/wiki/Cows_and_Calves,Cows and Calves,23 June 1998,hvFwFmxeld8,713,515874
173,S06E03,/wiki/The_Pier,The Pier,24 June 1998,qaB2CcuHqSA,444,380781
174,S06E04,/wiki/Becky%27s_Flake_Cakes,Becky's Flake Cakes,25 June 1998,zKUTw1Yau1w,986,752674
175,S06E05,/wiki/Hand_Painting,Hand Painting,26 June 1998,pm3GB39GzBo,427,239137
176,S06E06,/wiki/Mark_and_Topus,Mark and Topus,29 June 1998,6_L5cAWU7L0,924,510890
177,S06E07,/wiki/Numbers_-_10,Numbers: 10,30 June 1998,yxcAc8fhyGs,840,814555
178,S06E08,/wiki/Washing_the_Elephant,Washing the Elephant,1 July 1998,rlvUvjysGlo,3033,3289447
179,S06E09,/wiki/Windmill,Windmill,2 July 1998,f0uXwy5uPyE,916,757188
180,S06E10,/wiki/Putting_Angus_to_Bed,Putting Angus to Bed,3 July 1998,jDVeUfEbTR4,610,555850
181,S06E11,/wiki/Hair_Braiding,Hair Braiding,6 July 1998,Q47jP1P4RnM,1269,821490
182,S06E12,/wiki/Kittens,Kittens,7 July 1998,kPapXSMmw28,2520,2385650
183,S06E13,/wiki/Funny_Walks,Funny Walks,8 July 1998,ZqFbf-1wHSk,352,247902
184,S06E14,/wiki/Jigsaw_-_Rabbit,Jigsaw: Rabbit,9 July 1998,XLilvMIqZhU,1663,968060
185,S06E15,/wiki/My_Violin,My Violin,10 July 1998,l3C8R_FqAjU,1154,1079758
186,S06E16,/wiki/Boys_and_Eggs,Boys and Eggs,13 July 1998,U0kKqJImUmk,683,452004
187,S06E17,/wiki/Hovercraft,Hovercraft,14 July 1998,qo3yQWsnG0o,382,358647
188,S06E18,/wiki/Robin,Robin,15 July 1998,P1f2OdGspRA,224,171727
189,S06E19,/wiki/Feeding_My_Baby_Sister,Feeding My Baby Sister,16 July 1998,VwbtzWh6Z4c,735,550968
190,S06E20,/wiki/Long_Horns,Long Horns,17 July 1998,JU3qXMXfT3U,497,406071
191,S07E01,/wiki/Colours_-_Purple,Colours: Purple,31 August 1998,f9x5g3zDhvk,1058,881451
192,S07E02,/wiki/Ballet_Rhymes_(Jack-in-the-Box),Ballet Rhymes: Jack-in-the-Box,1 September 1998,b-UrJ42cNDI,1272,1091599
193,S07E03,/wiki/Spiders,Spiders,2 September 1998,k0ydMwHrfyk,2319,1921992
194,S07E04,/wiki/Blackberry_Picking,Blackberry Picking,3 September 1998,3xhTzkxeV5A,510,317031
195,S07E05,/wiki/Fancy_Dress,Fancy Dress,4 September 1998,9tXmvfRhetw,217,171857
196,S07E06,/wiki/Numbers_-_5_(Version_3),Numbers: 5 (Version 3),7 September 1998,9l2mYD5PK6w,2095,2064490
197,S07E07,/wiki/Rebecca%27s_Dogs,Rebecca's Dogs,8 September 1998,a-8ZhRAGjGE,6905,4769378
198,S07E08,/wiki/Clogs,Clogs,9 September 1998,-SRYLUeRIo8,608,546935
199,S07E09,/wiki/Cuddles_Gets_Lost,Cuddles Gets Lost,10 September 1998,Mk6laACdLlI,421,341103
200,S07E10,/wiki/Squeezy_Painting,Squeezy Painting,11 September 1998,HW_TKvjpqpc,340,279632
201,S07E11,/wiki/Woodlice,Woodlice,14 September 1998,IMPd_jvO0HA,285,279214
202,S07E12,/wiki/Land_Yachting,Land Yachting,15 September 1998,6mE0FqyqVag,973,750896
203,S07E13,/wiki/Tropical_Fish,Tropical Fish,16 September 1998,tz6OEEx3QGw,408,311317
204,S07E14,/wiki/My_Piano,My Piano,17 September 1998,tYGoTrpcq6w,539,479331
205,S07E15,/wiki/Twirlers,Twirlers,18 September 1998,AExdqDTWswY,796,699260
206,S07E16,/wiki/The_Very_Proud_Crown,The Very Proud Crown,21 September 1998,WweUcwpZESU,702,693770
207,S07E17,/wiki/Boom_Boom_Dance,Boom Boom Dance,22 September 1998,z43fyiOsXC0,1301,687692
208,S07E18,/wiki/Peacocks,Peacocks,23 September 1998,mXtD3gPJgJU,579,576658
209,S07E19,/wiki/Numbers_-_6_(Version_2),Numbers: 6 (Version 2),24 September 1998,XEFzBWIYJ54,809,534216
210,S07E20,/wiki/Basketball,Basketball,25 September 1998,rW2WxOWEk7U,294,258054
211,S07E21,/wiki/Rangoli,Rangoli,28 September 1998,PJ4rTOT0c8A,693,548088
212,S07E22,/wiki/Frogs,Frogs,29 September 1998,H6Y-Mp1vC4s,521,426532
213,S07E23,/wiki/Old_King_Cole,Old King Cole,30 September 1998,zYG8KGSeol8,1295,772748
214,S07E24,/wiki/Jigsaw_-_Elephant,Jigsaw: Elephant,1 October 1998,Ewj86pVIDP8,650,561923
215,S07E25,/wiki/Naughty_Soap,Naughty Soap,2 October 1998,VezJxYdjiZU,1419,1155912
216,S07E26,/wiki/Dad%27s_Portrait,Dad's Portrait,5 October 1998,mPqSnFrrhcw,427,415563
217,S07E27,/wiki/Colours_-_Orange,Colours: Orange,6 October 1998,PQ-8SK4gCMc,815,771096
218,S07E28,/wiki/Piglets,Piglets,7 October 1998,joVd2EXIkms,1118,968965
219,S07E29,/wiki/Water,Water,8 October 1998,aggfLc_FLyM,1443,1207133
220,S07E30,/wiki/Wrapping,Wrapping,9 October 1998,ZixHP8ni95g,467,399283
221,S07E31,/wiki/Making_Bread,Making Bread,12 October 1998,d5lb1OCN64Y,618,573118
222,S07E32,/wiki/Ice_Lollies,Ice Lollies,13 October 1998,EB3iUJCSNe8,984,852548
223,S07E33,/wiki/Orange_Picking,Orange Picking,14 October 1998,kHOtdqrV0ww,819,635634
224,S07E34,/wiki/Double_Bass,Double Bass,15 October 1998,UaH7xzaEIlk,746,526257
225,S07E35,/wiki/Numbers_-_7,Numbers: 7,16 October 1998,E2eJ0QYMB2A,16050,6333459
226,S07E36,/wiki/Sparkly_Spider,Sparkly Spider,19 October 1998,C0aYwJV4ppg,856,651958
227,S07E37,/wiki/Cat%27s_Night_Out,Cat's Night Out,20 October 1998,JhJC10VIJL0,1516,1542910
228,S07E38,/wiki/Chicks,Chicks,21 October 1998,3sBwk-b_7rA,546,387479
229,S07E39,/wiki/Body_to_Body,Body to Body,22 October 1998,9D4S-lJ1GpE,652,605263
230,S07E40,/wiki/Camping,Camping,23 October 1998,3oCZGWurkDc,1234,981595
231,S08E01,/wiki/Colours_-_Black,Colours: Black,14 December 1998,2M_d6SB43ic,1326,1309284
232,S08E02,/wiki/Pebbles,Pebbles,15 December 1998,uTASsa_pGwU,649,510977
233,S08E03,/wiki/Otters,Otters,16 December 1998,qCutXX28A5c,571,419789
234,S08E04,/wiki/Decorating_Boxes,Decorating Boxes,17 December 1998,e3juvZAPi78,664,579162
235,S08E05,/wiki/Kathak_Dancing,Kathak Dancing,18 December 1998,qIeU-NXclm8,893,661317
236,S08E06,/wiki/Christmas_in_South_Africa,Christmas in South Africa,21 December 1998,0GFJgM22jMs,526,348975
237,S08E07,/wiki/Christmas_in_Finland,Christmas in Finland,22 December 1998,4NED9DDjiT8,2509,2121914
238,S08E08,/wiki/Christmas_in_the_UK,Christmas in the UK: Christmas Gospel Singing,23 December 1998,kl147MUlmVk,3453,2722811
239,S08E09,/wiki/Christmas_in_Spain,Christmas in Spain,24 December 1998,dMZ6oe0OMIQ,1189,1091519
240,S08E10,/wiki/Nativity_Play,Christmas in the UK: Nativity Play,25 December 1998,JCf3FTNrX9A,1403,1490620
241,S08E11,/wiki/Towers,Towers,28 December 1998,Y8jEbtfP_f8,493,403651
242,S08E12,/wiki/Oranges_and_Lemons,Oranges and Lemons,29 December 1998,BPE7Nmi-lPQ,1628,1057990
243,S08E13,/wiki/Feeding_Baby_Penguins,Feeding Baby Penguins,30 December 1998,AyuhXpk0vIs,750,602038
244,S08E14,/wiki/Trickle_Painting,Trickle Painting,31 December 1998,27uK4kOg45I,484,370920
245,S08E15,/wiki/Catherine%27s_Toy_Farm,Catherine's Toy Farm,1 January 1999,2aS2Oq1fWmw,5971,4002654
246,S08E16,/wiki/Ten_Little_Men_Finger_Play,Ten Little Men Finger Play,4 January 1999,LxYS8KOudkc,597,484585
247,S08E17,/wiki/Harp,Harp,5 January 1999,W-NTw4bHxh0,783,774476
248,S08E18,/wiki/Hermit_Crabs,Hermit Crabs,6 January 1999,_wOOUZfv6MI,512,379786
249,S08E19,/wiki/Making_Mosaics,Making Mosaics,7 January 1999,EaiQ1IB3U24,233,158947
250,S08E20,/wiki/Ball_Games_with_Debbie,Ball Games with Debbie,8 January 1999,dDYM9jjmKOM,1941,1735670
251,S09E01,/wiki/Fruit_Tasting,Fruit Tasting,15 March 1999,CSZaGKMA6Fs,671,464153
252,S09E02,/wiki/Colours_-_Yellow,Colours: Yellow,23 February 1999,KbAYWOcGEXk,1094,1060910
